zcta5,stab,zipname,pop10
ZIP census tabulation area,State abbreviation,ZCTA name,Population (2010)
27986,NC,"Winton, NC",2430
28001,NC,"Albemarle, NC",26760
28006,NC,"Alexis, NC",1130
28007,NC,"Ansonville, NC",611
28009,NC,"Badin, NC",1121
28012,NC,"Belmont, NC",20048
28016,NC,"Bessemer City, NC",13463
28017,NC,"Boiling Springs, NC",695
28018,NC,"Bostic, NC",5562
28019,NC,"Caroleen, NC",123
28020,NC,"Casar, NC",2322
28021,NC,"Cherryville, NC",13612
28023,NC,"China Grove, NC",14175
28025,NC,"Concord, NC",49160
28027,NC,"Concord, NC",55435
28031,NC,"Cornelius, NC",24390
28032,NC,"Cramerton, NC",3105
28033,NC,"Crouse, NC",2749
28034,NC,"Dallas, NC",16642
28036,NC,"Davidson, NC",14654
28037,NC,"Denver, NC",18287
28039,NC,"East Spencer, NC",116
28040,NC,"Ellenboro, NC",7969
28043,NC,"Forest City, NC",21055
28052,NC,"Gastonia, NC",34932
28054,NC,"Gastonia, NC",36270
28056,NC,"Gastonia, NC",31418
28071,NC,"Gold Hill, NC",2802
28072,NC,"Granite Quarry, NC",1357
28073,NC,"Grover, NC",5621
28075,NC,"Harrisburg, NC",16143
28076,NC,"Henrietta, NC",722
28077,NC,"High Shoals, NC",482
28078,NC,"Huntersville, NC",52133
28079,NC,"Indian Trail, NC",31979
28080,NC,"Iron Station, NC",7299
28081,NC,"Kannapolis, NC",25190
28083,NC,"Kannapolis, NC",23820
28086,NC,"Kings Mountain, NC",25895
28088,NC,"Landis, NC",2862
28089,NC,"Lattimore, NC",248
28090,NC,"Lawndale, NC",8342
28091,NC,"Lilesville, NC",2158
28092,NC,"Lincolnton, NC",38570
28097,NC,"Locust, NC",5369
28098,NC,"Lowell, NC",3579
28101,NC,"McAdenville, NC",698
28102,NC,"McFarlan, NC",78
28103,NC,"Marshville, NC",10311
28104,NC,"Stallings, NC",28040
28105,NC,"Matthews, NC",39586
28107,NC,"Midland, NC",6422
28108,NC,"Mineral Springs, NC (PO Boxes)",54
28109,NC,"Misenheimer, NC",387
28110,NC,"Monroe, NC",50365
28112,NC,"Monroe, NC",26311
28114,NC,"Mooresboro, NC",7554
28115,NC,"Mooresville, NC",34339
28117,NC,"Mooresville, NC",35454
28119,NC,"Morven, NC",2801
28120,NC,"Mount Holly, NC",19807
28124,NC,"Mount Pleasant, NC",6622
28125,NC,"Mount Ulla, NC",2525
28127,NC,"New London, NC",7594
28128,NC,"Norwood, NC",7476
28129,NC,"Oakboro, NC",5399
28133,NC,"Peachland, NC",2878
28134,NC,"Pineville, NC",9453
28135,NC,"Polkton, NC",6123
28137,NC,"Richfield, NC",3120
28138,NC,"Rockwell, NC",10495
28139,NC,"Rutherfordton, NC",20111
28144,NC,"Salisbury, NC",24734
28146,NC,"Salisbury, NC",27614
28147,NC,"Salisbury, NC",24697
28150,NC,"Shelby, NC",28098
28152,NC,"Shelby, NC",24735
28159,NC,"Spencer, NC",3108
28160,NC,"Spindale, NC",3929
28163,NC,"Stanfield, NC",5233
28164,NC,"Stanley, NC",14085
28166,NC,"Troutman, NC",8619
28167,NC,"Union Mills, NC",2362
28168,NC,"Vale, NC",10230
28169,NC,"Waco, NC",173
28170,NC,"Wadesboro, NC",12355
28173,NC,"Waxhaw, NC",45097
28174,NC,"Wingate, NC",8608
28202,NC,"Charlotte, NC",11195
28203,NC,"Charlotte, NC",11315
28204,NC,"Charlotte, NC",4796
28205,NC,"Charlotte, NC",43931
28206,NC,"Charlotte, NC",11898
28207,NC,"Charlotte, NC",9280
28208,NC,"Charlotte, NC",34167
28209,NC,"Charlotte, NC",20317
28210,NC,"Charlotte, NC",42263
28211,NC,"Charlotte, NC",28523
28212,NC,"Charlotte, NC",38457
28213,NC,"Charlotte, NC",37309
28214,NC,"Charlotte, NC",34721
28215,NC,"Charlotte, NC",53629
28216,NC,"Charlotte, NC",47208
28217,NC,"Charlotte, NC",24204
28226,NC,"Charlotte, NC",37286
28227,NC,"Charlotte, NC",49635
28262,NC,"Charlotte, NC",37547
28269,NC,"Charlotte, NC",71048
28270,NC,"Charlotte, NC",31525
28273,NC,"Charlotte, NC",31478
28277,NC,"Charlotte, NC",59664
28278,NC,"Charlotte, NC",19283
28280,NC,"Charlotte, NC",10
28301,NC,"Fayetteville, NC",17165
28303,NC,"Fayetteville, NC",30909
28304,NC,"Fayetteville, NC",37147
28305,NC,"Fayetteville, NC",6073
28306,NC,"Fayetteville, NC",39683
28307,NC,"Fayetteville, NC",17631
28308,NC,"Spring Lake, NC",405
28310,NC,"Fayetteville, NC",3459
28311,NC,"Fayetteville, NC",34567
28312,NC,"Fayetteville, NC",18538
28314,NC,"Fayetteville, NC",54520
28315,NC,"Aberdeen, NC",11681
28318,NC,"Autryville, NC",4627
28320,NC,"Bladenboro, NC",9229
28323,NC,"Bunnlevel, NC",3182
28325,NC,"Calypso, NC",508
28326,NC,"Cameron, NC",17646
28327,NC,"Carthage, NC",15433
28328,NC,"Clinton, NC",27042
28330,NC,"Cordova, NC",346
28332,NC,"Dublin, NC",482
28333,NC,"Dudley, NC",11830
28334,NC,"Dunn, NC",24908
28337,NC,"Elizabethtown, NC",10670
28338,NC,"Ellerbe, NC",4607
28339,NC,"Erwin, NC",6751
28340,NC,"Fairmont, NC",10765
28341,NC,"Faison, NC",4257
28342,NC,"Falcon, NC",298
28343,NC,"Gibson, NC",1685
28344,NC,"Godwin, NC",3415
28345,NC,"Hamlet, NC",12592
28347,NC,"Hoffman, NC",1983
28348,NC,"Hope Mills, NC",33307
28349,NC,"Kenansville, NC",3724
28350,NC,"Lakeview, NC (PO Boxes)",305
28351,NC,"Laurel Hill, NC",4759
28352,NC,"Laurinburg, NC",25641
28356,NC,"Linden, NC",5018
28357,NC,"Lumber Bridge, NC",3125
28358,NC,"Lumberton, NC",38738
28360,NC,"Lumberton, NC",14263
28363,NC,"Marston, NC",1202
28364,NC,"Maxton, NC",14809
28365,NC,"Mount Olive, NC",17144
28366,NC,"Newton Grove, NC",5061
28367,NC,"Norman, NC",87
28369,NC,"Orrum, NC",2652
28371,NC,"Parkton, NC",6519
28372,NC,"Pembroke, NC",14783
28373,NC,"Pinebluff, NC",2150
28374,NC,"Pinehurst, NC",15990
28375,NC,"Proctorville, NC",102
28376,NC,"Raeford, NC",37991
28377,NC,"Red Springs, NC",12666
28379,NC,"Rockingham, NC",26388
28382,NC,"Roseboro, NC",7056
28383,NC,"Rowland, NC",8080
28384,NC,"Saint Pauls, NC",12097
28385,NC,"Salemburg, NC",3029
28386,NC,"Shannon, NC",6319
28387,NC,"Southern Pines, NC",13921
28390,NC,"Spring Lake, NC",19942
28391,NC,"Stedman, NC",5302
28392,NC,"Tar Heel, NC",1579
28393,NC,"Turkey, NC",2005
28394,NC,"Vass, NC",5164
28395,NC,"Wade, NC",2375
28396,NC,"Wagram, NC",2732
28398,NC,"Warsaw, NC",8112
28399,NC,"White Oak, NC",2140
28401,NC,"Wilmington, NC",22094
28403,NC,"Wilmington, NC",36063
28405,NC,"Wilmington, NC",29152
28409,NC,"Wilmington, NC",31296
28411,NC,"Murraysville, NC",31962
28412,NC,"Wilmington, NC",35573
28420,NC,"Ash, NC",3886
28421,NC,"Atkinson, NC",1521
28422,NC,"Bolivia, NC",6641
28423,NC,"Bolton, NC",2290
28424,NC,"Brunswick, NC",128
28425,NC,"Burgaw, NC",10906
28428,NC,"Carolina Beach, NC",6033
28429,NC,"Wrightsboro, NC",8026
28430,NC,"Cerro Gordo, NC",1900
28431,NC,"Chadbourn, NC",7102
28432,NC,"Clarendon, NC",1968
28433,NC,"Clarkton, NC",5050
28434,NC,"Council, NC",1329
28435,NC,"Currie, NC",2490
28436,NC,"Delco, NC",2203
28438,NC,"Evergreen, NC",1845
28439,NC,"Fair Bluff, NC",1595
28441,NC,"Garland, NC",3198
28442,NC,"Hallsboro, NC",1647
28443,NC,"Hampstead, NC",17512
28444,NC,"Harrells, NC",2085
28445,NC,"Holly Ridge, NC",5676
28447,NC,"Ivanhoe, NC",1391
28448,NC,"Kelly, NC",1243
28449,NC,"Kure Beach, NC",1692
28450,NC,"Lake Waccamaw, NC",2438
28451,NC,"Leland, NC",27112
28452,NC,"Longwood, NC",694
28453,NC,"Magnolia, NC",3829
28454,NC,"Maple Hill, NC",2545
28455,NC,"Nakina, NC",2117
28456,NC,"Riegelwood, NC",3658
28457,NC,"Rocky Point, NC",9905
28458,NC,"Rose Hill, NC",6444
28460,NC,"Sneads Ferry, NC",7652
28461,NC,"Boiling Spring Lakes, NC",16126
28462,NC,"Supply, NC",11680
28463,NC,"Tabor City, NC",9799
28464,NC,"Teachey, NC",2457
28465,NC,"Oak Island, NC",6531
28466,NC,"Wallace, NC",10103
28467,NC,"Calabash, NC",8703
28468,NC,"Sunset Beach, NC",4375
28469,NC,"Ocean Isle Beach, NC",5839
28470,NC,"Shallotte, NC",10644
28472,NC,"Whiteville, NC",19658
28478,NC,"Willard, NC",4588
28479,NC,"Winnabow, NC",4903
28480,NC,"Wrightsville Beach, NC",2473
28501,NC,"Kinston, NC",20389
28504,NC,"Kinston, NC",21642
28508,NC,"Albertson, NC",2737
28510,NC,"Arapahoe, NC",1502
28511,NC,"Atlantic, NC",694
28512,NC,"Atlantic Beach, NC",2896
28513,NC,"Ayden, NC",10346
28515,NC,"Bayboro, NC",2915
28516,NC,"Beaufort, NC",11431
28518,NC,"Beulaville, NC",7909
28519,NC,"Bridgeton, NC",404
28520,NC,"Cedar Island, NC",327
28521,NC,"Chinquapin, NC",2287
28523,NC,"Cove City, NC",2456
28524,NC,"Davis, NC",426
28525,NC,"Deep Run, NC",3132
28526,NC,"Dover, NC",2489
28527,NC,"Ernul, NC",1140
28528,NC,"Gloucester, NC",644
28529,NC,"Grantsboro, NC",2193
28530,NC,"Grifton, NC",7332
28531,NC,"Harkers Island, NC",1207
28532,NC,"Havelock, NC",23320
28533,NC,"Havelock, NC",2952
28537,NC,"Hobucken, NC",137
28538,NC,"Hookerton, NC",2175
28539,NC,"Hubert, NC",15469
28540,NC,"Jacksonville, NC",49252
28543,NC,"Jacksonville, NC",4699
28544,NC,"Piney Green, NC",5368
28546,NC,"Jacksonville, NC",42696
28547,NC,"Jacksonville, NC",21884
28551,NC,"La Grange, NC",14093
28552,NC,"Lowland, NC",254
28553,NC,"Marshallberg, NC",454
28554,NC,"Maury, NC",243
28555,NC,"Maysville, NC",5175
28556,NC,"Merritt, NC",963
28557,NC,"Morehead City, NC",14429
28560,NC,"New Bern, NC",28921
28562,NC,"New Bern, NC",36176
28570,NC,"Newport, NC",21432
28571,NC,"Oriental, NC",2585
28572,NC,"Pink Hill, NC",6531
28573,NC,"Pollocksville, NC",2176
28574,NC,"Richlands, NC",15102
28575,NC,"Salter Path, NC (PO Boxes)",316
28577,NC,"Sealevel, NC",522
28578,NC,"Seven Springs, NC",6363
28579,NC,"Smyrna, NC",622
28580,NC,"Snow Hill, NC",12657
28581,NC,"Stacy, NC",214
28582,NC,"Stella, NC",1588
28583,NC,"Stonewall, NC",281
28584,NC,"Swansboro, NC",11396
28585,NC,"Trenton, NC",3942
28586,NC,"Vanceboro, NC",8218
28587,NC,"Vandemere, NC",369
28589,NC,"Williston, NC (PO Boxes)",180
28590,NC,"Winterville, NC",23407
28594,NC,"Emerald Isle, NC",3655
28601,NC,"Hickory, NC",50026
28602,NC,"Hickory, NC",28981
28604,NC,"Banner Elk, NC",6249
28605,NC,"Blowing Rock, NC",3412
28606,NC,"Boomer, NC",2158
28607,NC,"Boone, NC",33059
28609,NC,"Catawba, NC",5864
28610,NC,"Claremont, NC",9913
28611,NC,"Collettsville, NC",885
28612,NC,"Connellys Springs, NC",12397
28613,NC,"Conover, NC",22759
28615,NC,"Creston, NC",1876
28616,NC,"Crossnore, NC (PO Boxes)",493
28617,NC,"Crumpler, NC",2261
28618,NC,"Deep Gap, NC",2352
28619,NC,"Drexel, NC",1520
28621,NC,"Elkin, NC",10472
28622,NC,"Elk Park, NC",2527
28623,NC,"Ennice, NC",1653
28624,NC,"Ferguson, NC",1639
28625,NC,"Statesville, NC",36189
28626,NC,"Fleetwood, NC",2714
28627,NC,"Glade Valley, NC",1152
28628,NC,"Glen Alpine, NC",479
28629,NC,"Glendale Springs, NC",75
28630,NC,"Granite Falls, NC",20041
28631,NC,"Grassy Creek, NC",637
28634,NC,"Harmony, NC",5225
28635,NC,"Hays, NC",3901
28636,NC,"Hiddenite, NC",5522
28637,NC,"Hildebran, NC",1746
28638,NC,"Hudson, NC",12302
28640,NC,"Jefferson, NC",4719
28642,NC,"Jonesville, NC",5745
28643,NC,"Lansing, NC",3521
28644,NC,"Laurel Springs, NC",1494
28645,NC,"Lenoir, NC",47703
28646,NC,"Linville, NC (PO Boxes)",342
28647,NC,"Linville Falls, NC (PO Boxes)",89
28649,NC,"Mc Grady, NC",993
28650,NC,"Maiden, NC",11883
28651,NC,"Millers Creek, NC",7132
28652,NC,"Minneapolis, NC (PO Boxes)",46
28654,NC,"Moravian Falls, NC",3495
28655,NC,"Morganton, NC",54996
28657,NC,"Newland, NC",9488
28658,NC,"Newton, NC",27022
28659,NC,"North Wilkesboro, NC",21134
28660,NC,"Olin, NC",2249
28662,NC,"Pineola, NC (PO Boxes)",140
28663,NC,"Piney Creek, NC",614
28665,NC,"Purlear, NC",2571
28666,NC,"Icard, NC",368
28667,NC,"Rhodhiss, NC",559
28668,NC,"Roaring Gap, NC",300
28669,NC,"Roaring River, NC",3146
28670,NC,"Ronda, NC",2719
28671,NC,"Rutherford College, NC",597
28672,NC,"Scottville, NC",35
28673,NC,"Lake Norman of Catawba, NC",5919
28675,NC,"Sparta, NC",6621
28676,NC,"State Road, NC",3483
28677,NC,"Statesville, NC",32940
28678,NC,"Stony Point, NC",5226
28679,NC,"Sugar Grove, NC",2064
28681,NC,"Taylorsville, NC",25910
28682,NC,"Lake Norman of Catawba, NC",1129
28683,NC,"Thurmond, NC",1697
28684,NC,"Todd, NC",2141
28685,NC,"Traphill, NC",2076
28689,NC,"Union Grove, NC",1712
28690,NC,"Valdese, NC",9295
28692,NC,"Vilas, NC",4067
28693,NC,"Warrensville, NC",1700
28694,NC,"West Jefferson, NC",7744
28697,NC,"Wilkesboro, NC",12930
28698,NC,"Zionville, NC",2256
28701,NC,"Alexander, NC",3635
28702,NC,"Almond, NC",366
28704,NC,"Arden, NC",18821
28705,NC,"Bakersville, NC",6715
28707,NC,"Balsam, NC (PO Boxes)",94
28708,NC,"Balsam Grove, NC",754
28709,NC,"Barnardsville, NC",2225
28711,NC,"Black Mountain, NC",13209
28712,NC,"Brevard, NC",19347
28713,NC,"Bryson City, NC",8686
28714,NC,"Burnsville, NC",16753
28715,NC,"Candler, NC",24582
28716,NC,"Canton, NC",17477
28717,NC,"Cashiers, NC",1729
28718,NC,"Cedar Mountain, NC",553
28719,NC,"Cherokee, NC",8048
28720,NC,"Chimney Rock Village, NC",114
28721,NC,"Clyde, NC",10063
28722,NC,"Columbus, NC",6371
28723,NC,"Cullowhee, NC",11329
28725,NC,"Dillsboro, NC",43
28726,NC,"East Flat Rock, NC",3203
28729,NC,"Etowah, NC",2894
28730,NC,"Fairview, NC",9133
28731,NC,"Flat Rock, NC",7778
28732,NC,"Fletcher, NC",16491
28733,NC,"Fontana Dam, NC",21
28734,NC,"Franklin, NC",27040
28735,NC,"Gerton, NC",256
28736,NC,"Glenville, NC",787
28739,NC,"Hendersonville, NC",19786
28740,NC,"Green Mountain, NC",1364
28741,NC,"Highlands, NC",3197
28742,NC,"Horse Shoe, NC",2710
28743,NC,"Hot Springs, NC",2125
28745,NC,"Lake Junaluska, NC",551
28746,NC,"Lake Lure, NC",2388
28747,NC,"Lake Toxaway, NC",2198
28748,NC,"Leicester, NC",11334
28749,NC,"Little Switzerland, NC (PO Boxes)",50
28751,NC,"Maggie Valley, NC",2916
28752,NC,"Marion, NC",30600
28753,NC,"Marshall, NC",11670
28754,NC,"Mars Hill, NC",7679
28756,NC,"Mill Spring, NC",4504
28757,NC,"Montreat, NC",280
28759,NC,"Mills River, NC",6922
28761,NC,"Nebo, NC",7816
28762,NC,"Old Fort, NC",6857
28763,NC,"Otto, NC",2725
28766,NC,"Penrose, NC",1262
28768,NC,"Pisgah Forest, NC",6813
28771,NC,"Robbinsville, NC",8558
28772,NC,"Rosman, NC",1239
28773,NC,"Saluda, NC",3378
28774,NC,"Sapphire, NC",1013
28775,NC,"Scaly Mountain, NC",296
28777,NC,"Spruce Pine, NC",10638
28778,NC,"Swannanoa, NC",10381
28779,NC,"Sylva, NC",16111
28781,NC,"Topton, NC",939
28782,NC,"Tryon, NC",6584
28783,NC,"Tuckasegee, NC",1593
28785,NC,"Waynesville, NC",7338
28786,NC,"Waynesville, NC",20714
28787,NC,"Weaverville, NC",19718
28789,NC,"Whittier, NC",5097
28790,NC,"Zirconia, NC",3205
28791,NC,"Hendersonville, NC",14171
28792,NC,"Hendersonville, NC",32689
28801,NC,"Asheville, NC",15019
28803,NC,"Asheville, NC",28693
28804,NC,"Asheville, NC",20507
28805,NC,"Asheville, NC",17620
28806,NC,"Asheville, NC",38550
28901,NC,"Andrews, NC",5354
28902,NC,"Brasstown, NC",1373
28904,NC,"Hayesville, NC",8533
28905,NC,"Marble, NC",3129
28906,NC,"Murphy, NC",18475
28909,NC,"Warne, NC",1030
29001,SC,"Alcolu, SC",2148
29003,SC,"Bamberg, SC",6989
29006,SC,"Batesburg, SC",9565
29009,SC,"Bethune, SC",2440
29010,SC,"Bishopville, SC",13491
29014,SC,"Blackstock, SC",1891
29015,SC,"Blair, SC",1738
29016,SC,"Blythewood, SC",16393
29018,SC,"Bowman, SC",3749
29020,SC,"Camden, SC",22463
29030,SC,"Cameron, SC",1967
29031,SC,"Carlisle, SC",1349
29032,SC,"Cassatt, SC",4424
29033,SC,"Cayce, SC",11603
29036,SC,"Chapin, SC",19140
29037,SC,"Chappells, SC",824
29038,SC,"Cope, SC",2445
29039,SC,"Cordova, SC",4215
29040,SC,"Dalzell, SC",8767
29042,SC,"Denmark, SC",5868
29044,SC,"Eastover, SC",5652
29045,SC,"Elgin, SC",21871
29046,SC,"Elliott, SC (PO Boxes)",237
29047,SC,"Elloree, SC",3683
29048,SC,"Eutawville, SC",4864
29051,SC,"Gable, SC",951
29052,SC,"Gadsden, SC",2021
29053,SC,"Gaston, SC",18830
29054,SC,"Gilbert, SC",9612
29055,SC,"Great Falls, SC",4337
29056,SC,"Greeleyville, SC",2448
29058,SC,"Heath Springs, SC",4746
29059,SC,"Holly Hill, SC",6068
29061,SC,"Hopkins, SC",13717
29062,SC,"Horatio, SC (PO Boxes)",176
29063,SC,"Irmo, SC",32717
29065,SC,"Jenkinsville, SC",677
29067,SC,"Kershaw, SC",10949
29069,SC,"Lamar, SC",5020
29070,SC,"Leesville, SC",15330
29072,SC,"Lexington, SC",49566
29073,SC,"Lexington, SC",40775
29074,SC,"Liberty Hill, SC (PO Boxes)",241
29075,SC,"Little Mountain, SC",2963
29078,SC,"Lugoff, SC",15293
29079,SC,"Lydia, SC",151
29080,SC,"Lynchburg, SC",3240
29081,SC,"Ehrhardt, SC",1352
29082,SC,"Lodge, SC",572
29101,SC,"Mc Bee, SC",3023
29102,SC,"Manning, SC",18248
29104,SC,"Mayesville, SC",1531
29105,SC,"Monetta, SC",1514
29107,SC,"Neeses, SC",3166
29108,SC,"Newberry, SC",20469
29111,SC,"New Zion, SC",1632
29112,SC,"North, SC",4712
29113,SC,"Norway, SC",1618
29114,SC,"Olanta, SC",2190
29115,SC,"Orangeburg, SC",31128
29117,SC,"Orangeburg, SC",1160
29118,SC,"Orangeburg, SC",15861
29122,SC,"Peak, SC",54
29123,SC,"Pelion, SC",7617
29125,SC,"Pinewood, SC",3072
29126,SC,"Pomaria, SC",2267
29127,SC,"Prosperity, SC",8333
29128,SC,"Rembert, SC",5866
29129,SC,"Ridge Spring, SC",3164
29130,SC,"Ridgeway, SC",6655
29133,SC,"Rowesville, SC",1044
29135,SC,"Saint Matthews, SC",8919
29137,SC,"Salley, SC",2539
29138,SC,"Saluda, SC",10883
29142,SC,"Santee, SC",4890
29145,SC,"Silverstreet, SC",837
29146,SC,"Springfield, SC",1767
29148,SC,"Summerton, SC",6230
29150,SC,"Sumter, SC",40031
29152,SC,"Sumter, SC",2393
29153,SC,"Sumter, SC",15633
29154,SC,"Sumter, SC",28135
29160,SC,"Swansea, SC",8255
29161,SC,"Timmonsville, SC",11383
29162,SC,"Turbeville, SC",4122
29163,SC,"Vance, SC",1975
29164,SC,"Wagener, SC",4690
29166,SC,"Ward, SC",904
29168,SC,"Wedgefield, SC",3582
29169,SC,"West Columbia, SC",22845
29170,SC,"West Columbia, SC",19988
29172,SC,"West Columbia, SC",9293
29175,SC,"Westville, SC",378
29178,SC,"Whitmire, SC",3377
29180,SC,"Winnsboro, SC",14267
29201,SC,"Columbia, SC",20594
29202,SC,"Columbia, SC",135
29203,SC,"Columbia, SC",39843
29204,SC,"Columbia, SC",19952
29205,SC,"Columbia, SC",24822
29206,SC,"Forest Acres, SC",17788
29207,SC,"Columbia, SC",11592
29208,SC,"Columbia, SC",695
29209,SC,"Columbia, SC",33324
29210,SC,"St. Andrews, SC",40356
29212,SC,"Columbia, SC",28798
29223,SC,"Columbia, SC",50141
29225,SC,"Columbia, SC",1228
29229,SC,"Columbia, SC",44229
29301,SC,"Spartanburg, SC",31051
29302,SC,"Spartanburg, SC",16571
29303,SC,"Spartanburg, SC",25058
29306,SC,"Spartanburg, SC",15861
29307,SC,"Spartanburg, SC",18751
29316,SC,"Boiling Springs, SC",22281
29320,SC,"Arcadia, SC",530
29321,SC,"Buffalo, SC",2596
29322,SC,"Campobello, SC",8781
29323,SC,"Chesnee, SC",14446
29324,SC,"Clifton, SC",167
29325,SC,"Clinton, SC",15222
29329,SC,"Converse, SC",278
29330,SC,"Cowpens, SC",8401
29331,SC,"Cross Anchor, SC",142
29332,SC,"Cross Hill, SC",2435
29333,SC,"Drayton, SC (PO Boxes)",374
29334,SC,"Duncan, SC",11331
29335,SC,"Enoree, SC",5654
29338,SC,"Fingerville, SC",85
29340,SC,"Gaffney, SC",20763
29341,SC,"Gaffney, SC",19330
29346,SC,"Glendale, SC",307
29349,SC,"Inman, SC",30129
29351,SC,"Joanna, SC",1563
29353,SC,"Jonesville, SC",4174
29355,SC,"Kinards, SC",810
29356,SC,"Landrum, SC",8074
29360,SC,"Laurens, SC",20977
29364,SC,"Lockhart, SC",592
29365,SC,"Lyman, SC",10146
29368,SC,"Mayo, SC",68
29369,SC,"Moore, SC",13044
29370,SC,"Mountville, SC",1045
29372,SC,"Pacolet, SC",4507
29373,SC,"Pacolet, SC",297
29374,SC,"Pauline, SC",3534
29375,SC,"Reidville, SC",95
29376,SC,"Roebuck, SC",6909
29377,SC,"Startex, SC",761
29378,SC,"Saxon, SC",207
29379,SC,"Union, SC",19186
29384,SC,"Waterloo, SC",3945
29385,SC,"Wellford, SC",7221
29388,SC,"Woodruff, SC",14470
29401,SC,"Charleston, SC",10895
29403,SC,"Charleston, SC",20818
29404,SC,"North Charleston, SC",1348
29405,SC,"North Charleston, SC",26328
29406,SC,"North Charleston, SC",29314
29407,SC,"Charleston, SC",34827
29409,SC,"Charleston, SC",2100
29410,SC,"Hanahan, SC",17816
29412,SC,"Charleston, SC",35850
29414,SC,"Charleston, SC",31883
29418,SC,"North Charleston, SC",23540
29420,SC,"North Charleston, SC",21834
29423,SC,"North Charleston, SC",956
29424,SC,"Charleston, SC",389
29426,SC,"Adams Run, SC",1741
29429,SC,"Awendaw, SC",2737
29431,SC,"Bonneau, SC",6071
29432,SC,"Branchville, SC",2853
29434,SC,"Cordesville, SC",537
29435,SC,"Cottageville, SC",4122
29436,SC,"Cross, SC",4471
29437,SC,"Dorchester, SC",2380
29438,SC,"Edisto Island, SC",2408
29439,SC,"Folly Beach, SC",2399
29440,SC,"Georgetown, SC",28469
29445,SC,"Goose Creek, SC",53588
29446,SC,"Green Pond, SC",1138
29448,SC,"Harleyville, SC",2356
29449,SC,"Hollywood, SC",7749
29450,SC,"Huger, SC",3105
29451,SC,"Isle of Palms, SC",4205
29452,SC,"Jacksonboro, SC",394
29453,SC,"Jamestown, SC",1252
29455,SC,"Johns Island, SC",20478
29456,SC,"Ladson, SC",27864
29458,SC,"Mc Clellanville, SC",2713
29461,SC,"Moncks Corner, SC",30141
29464,SC,"Mount Pleasant, SC",43649
29466,SC,"Mount Pleasant, SC",28725
29468,SC,"Pineville, SC",2107
29469,SC,"Pinopolis, SC",855
29470,SC,"Ravenel, SC",4232
29471,SC,"Reevesville, SC",1537
29472,SC,"Ridgeville, SC",9416
29474,SC,"Round O, SC",2176
29475,SC,"Ruffin, SC",2874
29477,SC,"Saint George, SC",6789
29479,SC,"Saint Stephen, SC",7337
29481,SC,"Smoaks, SC",1841
29482,SC,"Sullivans Island, SC",1791
29483,SC,"Summerville, SC",66731
29485,SC,"Summerville, SC",45057
29487,SC,"Wadmalaw Island, SC",2725
29488,SC,"Walterboro, SC",22220
29492,SC,"Charleston, SC",10262
29493,SC,"Williams, SC",117
29501,SC,"Florence, SC",43220
29505,SC,"Florence, SC",24279
29506,SC,"Florence, SC",20960
29510,SC,"Andrews, SC",11060
29511,SC,"Aynor, SC",5146
29512,SC,"Bennettsville, SC",19514
29516,SC,"Blenheim, SC",829
29518,SC,"Cades, SC",1232
29519,SC,"Centenary, SC (PO Boxes)",285
29520,SC,"Cheraw, SC",14617
29525,SC,"Clio, SC",2029
29526,SC,"Conway, SC",39033
29527,SC,"Conway, SC",22027
29530,SC,"Coward, SC",2915
29532,SC,"Darlington, SC",20871
29536,SC,"Dillon, SC",17722
29540,SC,"Darlington, SC",5599
29541,SC,"Effingham, SC",9465
29543,SC,"Fork, SC",606
29544,SC,"Galivants Ferry, SC",4909
29545,SC,"Green Sea, SC",1657
29546,SC,"Gresham, SC",2834
29547,SC,"Hamer, SC",2917
29550,SC,"Hartsville, SC",32284
29554,SC,"Hemingway, SC",9332
29555,SC,"Johnsonville, SC",6440
29556,SC,"Kingstree, SC",12870
29560,SC,"Lake City, SC",13664
29563,SC,"Lake View, SC",2676
29564,SC,"Lane, SC",985
29565,SC,"Latta, SC",7127
29566,SC,"Little River, SC",15179
29567,SC,"Little Rock, SC",564
29568,SC,"Longs, SC",12224
29569,SC,"Loris, SC",15951
29570,SC,"McColl, SC",3913
29571,SC,"Marion, SC",15622
29572,SC,"Myrtle Beach, SC",7893
29574,SC,"Mullins, SC",11909
29575,SC,"Myrtle Beach, SC",15512
29576,SC,"Murrells Inlet, SC",24446
29577,SC,"Myrtle Beach, SC",26996
29579,SC,"Myrtle Beach, SC",32180
29580,SC,"Nesmith, SC",1450
29581,SC,"Nichols, SC",4650
29582,SC,"North Myrtle Beach, SC",14622
29583,SC,"Pamplico, SC",5438
29584,SC,"Patrick, SC",2563
29585,SC,"Pawleys Island, SC",13606
29588,SC,"Socastee, SC",36499
29590,SC,"Salters, SC",3677
29591,SC,"Scranton, SC",5467
29592,SC,"Sellers, SC",1197
29593,SC,"Society Hill, SC",1954
29594,SC,"Tatum, SC",121
29596,SC,"Wallace, SC",2424
29601,SC,"Greenville, SC",10550
29605,SC,"Gantt, SC",34414
29607,SC,"Greenville, SC",34487
29609,SC,"Greenville, SC",27722
29611,SC,"Parker, SC",28799
29613,SC,"Gville, Greenville, SC",2334
29614,SC,"Greenville, SC",2720
29615,SC,"Wade Hampton, SC",35151
29617,SC,"Berea, SC",25685
29620,SC,"Abbeville, SC",12934
29621,SC,"Anderson, SC",39101
29624,SC,"Anderson, SC",14610
29625,SC,"Anderson, SC",27538
29626,SC,"Anderson, SC",12364
29627,SC,"Belton, SC",18367
